"","Con1","Con2","Con3","Ko1","Ko2","Ko3"
"ENSMUSG00000079470",56,144,538,40,194,265
"ENSMUSG00000099377",31,146,398,22,165,166
"ENSMUSG00000099706",0,0,0,0,0,0
"ENSMUSG00000047330",26,228,404,10,186,184
"ENSMUSG00000101324",0,21,38,6,16,15
"ENSMUSG00000072978",1,107,162,4,67,90
"ENSMUSG00000046334",0,0,0,0,0,0
"ENSMUSG00002075801",0,0,0,0,0,0
"ENSMUSG00000050711",63568,265956,979070,35938,203469,384636
"ENSMUSG00000099562",0,0,0,0,0,0
"ENSMUSG00000077782",0,0,0,0,0,0
"ENSMUSG00000055067",193,1230,3476,315,1593,2187
"ENSMUSG00000054702",103,322,1379,51,470,678
"ENSMUSG00000096474",32,121,231,11,70,79
"ENSMUSG00000102235",0,0,4,0,0,0
"ENSMUSG00000026492",346,1430,3442,277,1311,1805
"ENSMUSG00000082395",0,0,0,0,0,0
"ENSMUSG00000038949",502,1956,6027,307,1859,3603
"ENSMUSG00000026043",730,3638,4997,587,1076,2218
"ENSMUSG00000046101",12,9,28,0,0,0
"ENSMUSG00002074901",0,0,0,0,0,0
"ENSMUSG00000093178",0,0,0,0,0,0
"ENSMUSG00000099032",235,1272,5593,153,891,1799
"ENSMUSG00000104025",2,61,69,4,22,15
"ENSMUSG00000038936",392,1958,5672,356,1653,1994
"ENSMUSG00000042772",617,2102,8029,460,2886,4967
"ENSMUSG00000100394",0,2,8,0,0,0
"ENSMUSG00000103840",0,0,0,0,0,0
"ENSMUSG00000087236",0,0,0,0,0,0
"ENSMUSG00000100702",0,0,0,0,0,0
"ENSMUSG00000026042",502,2298,2942,194,1132,2119
"ENSMUSG00000104476",0,2,0,0,0,0
"ENSMUSG00000073643",136,1080,2538,112,657,1336
"ENSMUSG00000104497",0,0,0,0,0,0
"ENSMUSG00000025916",46,285,780,49,227,224
"ENSMUSG00000087199",0,0,0,0,0,0
"ENSMUSG00000026248",399,2095,5511,429,2287,2194
"ENSMUSG00000119658",0,0,0,0,0,0
"ENSMUSG00000026249",258,1046,1962,166,1108,1075
"ENSMUSG00000042751",58,280,988,22,116,292
"ENSMUSG00000067106",0,76,149,14,47,75
"ENSMUSG00000099969",0,0,0,0,0,0
"ENSMUSG00000100397",0,0,0,0,0,0
"ENSMUSG00000099753",0,0,0,0,0,0
"ENSMUSG00000118883",0,0,0,0,0,0
"ENSMUSG00000102518",0,0,0,0,0,0
"ENSMUSG00000099552",0,0,0,0,0,0
